brain,scenario,method,tissue_pct,skull_pct
vp_996782,standard,baseline,9.628584861307004,69.22537679635471
vp_996782,standard,dg,92.4306535025858,68.94497020679987
vp_996782,standard,dg_c,92.42125058768218,79.67052225727305
vp_996782,standard,sg,97.97210468578594,96.88047669120225
vp_996782,standard,sg_c,96.60868202476101,94.98773221170697
vp_996782,reduced_compute,baseline,7.039648957843599,34.13950227830354
vp_996782,reduced_compute,dg,7.136812411847673,5.292674377847879
vp_996782,reduced_compute,dg_c,54.63720419996866,54.4689800210305
vp_996782,reduced_compute,sg,97.91882150133208,90.29092183666316
vp_996782,reduced_compute,sg_c,94.02914903620122,93.024886084823
vp_996782,missing_low_freq,baseline,7.039648957843599,32.1416053277252
vp_996782,missing_low_freq,dg,7.064723397586585,11.286365229582895
vp_996782,missing_low_freq,dg_c,77.26688606801441,47.669120224325276
vp_996782,missing_low_freq,sg,18.26046074283028,55.62565720294427
vp_996782,missing_low_freq,sg_c,74.59018962545055,95.23308797756748
vp_166438,standard,dg,38.678862423126155,42.5343811394892
vp_166438,standard,dg_c,67.92058189991572,74.60707269155206
vp_166438,standard,sg,88.42755907969905,79.66601178781926
vp_166438,standard,sg_c,93.35060718633909,84.62671905697447
vp_166438,reduced_compute,dg,9.04692036337527,0.0
vp_166438,reduced_compute,dg_c,36.20016857615584,7.121807465618861
vp_166438,reduced_compute,sg,87.85627321824369,28.192534381139488
vp_166438,reduced_compute,sg_c,75.91858396029096,92.11689587426326
vp_166438,missing_low_freq,dg,8.881465988199668,8.7426326129666
vp_166438,missing_low_freq,dg_c,31.267755127524737,27.259332023575638
vp_166438,missing_low_freq,sg,91.57119220803547,36.8369351669941
vp_166438,missing_low_freq,sg_c,67.51787219429963,63.261296660117885
vp_917255,standard,dg,94.01231866985292,70.21988527724665
vp_917255,standard,dg_c,94.1031941031941,83.65200764818356
vp_917255,standard,sg,97.31076032445895,80.25812619502868
vp_917255,standard,sg_c,92.79054895493252,70.93690248565966
vp_917255,reduced_compute,dg,67.7156608663458,55.975143403441685
vp_917255,reduced_compute,dg_c,79.00777489818586,86.9980879541109
vp_917255,reduced_compute,sg,93.27185217596177,85.46845124282983
vp_917255,reduced_compute,sg_c,95.82309582309583,78.77629063097514
vp_917255,missing_low_freq,dg,11.877755713372151,41.77820267686425
vp_917255,missing_low_freq,dg_c,93.64881693648816,80.83173996175908
vp_917255,missing_low_freq,sg,23.88004442798963,36.233269598470365
vp_917255,missing_low_freq,sg_c,76.54067517081215,85.8508604206501
vp_894774,standard,baseline,8.746830291456657,29.901196047841914
vp_894774,standard,dg,44.88620355007357,33.359334373374935
vp_894774,standard,dg_c,74.07882791221864,71.21684867394696
vp_894774,standard,sg,84.02153836521303,82.47529901196047
vp_894774,standard,sg_c,92.8403719124691,83.35933437337494
vp_894774,reduced_compute,baseline,8.746830291456657,1.71606864274571
vp_894774,reduced_compute,dg,8.922142566446482,1.9500780031201248
vp_894774,reduced_compute,dg_c,37.57317722192656,7.228289131565263
vp_894774,reduced_compute,sg,80.35250289578312,20.358814352574104
vp_894774,reduced_compute,sg_c,78.68703628337977,83.09932397295891
vp_894774,missing_low_freq,baseline,8.746830291456657,1.7680707228289132
vp_894774,missing_low_freq,dg,8.815702970916945,6.526261050442017
vp_894774,missing_low_freq,dg_c,29.65908023667157,5.61622464898596
vp_894774,missing_low_freq,sg,88.51391541182731,29.22516900676027
vp_894774,missing_low_freq,sg_c,0.0,34.945397815912635
vp_432332,standard,baseline,92.66357020078266,60.58455114822547
vp_432332,standard,dg,92.84643235928756,69.35281837160751
vp_432332,standard,dg_c,93.57788099330725,70.60542797494782
vp_432332,standard,sg,97.67033610064733,82.96450939457203
vp_432332,standard,sg_c,96.25498299381925,68.3089770354906
vp_432332,reduced_compute,baseline,6.6781260285996416,23.04801670146138
vp_432332,reduced_compute,dg,86.28168086896098,60.33402922755741
vp_432332,reduced_compute,dg_c,79.50115203159858,68.35073068893529
vp_432332,reduced_compute,sg,96.8547708737154,83.63256784968685
vp_432332,reduced_compute,sg_c,96.5951066086384,75.44885177453027
vp_432332,missing_low_freq,baseline,6.630581867388363,18.24634655532359
vp_432332,missing_low_freq,dg,6.630581867388363,35.36534446764092
vp_432332,missing_low_freq,dg_c,67.02263833522291,58.830897703549056
vp_432332,missing_low_freq,sg,7.252313206305088,30.146137787056364
vp_432332,missing_low_freq,sg_c,85.75138060929672,85.51148225469728
vp_129634,standard,baseline,85.8550956572343,54.56907752273712
vp_129634,standard,dg,93.72590383356368,88.26331745344305
vp_129634,standard,dg_c,93.54040881646904,89.95236032914681
vp_129634,standard,sg,92.1910234960355,80.4677349501949
vp_129634,standard,sg_c,94.25329162726413,78.77869207449112
vp_129634,reduced_compute,baseline,10.555030188404743,21.307925508878302
vp_129634,reduced_compute,dg,88.47748599694478,91.25162407968817
vp_129634,reduced_compute,dg_c,90.57248854295482,88.69640537029017
vp_129634,reduced_compute,sg,83.5818724085255,87.05067128627111
vp_129634,reduced_compute,sg_c,94.0059649378046,84.40883499350367
vp_129634,missing_low_freq,baseline,10.515021459227468,14.291901255954958
vp_129634,missing_low_freq,dg,93.12577289590456,82.11346903421395
vp_129634,missing_low_freq,dg_c,80.69033243616789,80.68427890861844
vp_129634,missing_low_freq,sg,18.22943187604568,36.292767431788654
vp_129634,missing_low_freq,sg_c,93.92231032225212,83.32611520138589
vp_156031,standard,baseline,94.09680480860487,72.27429699062654
vp_156031,standard,dg,92.30623220499842,75.82634435125802
vp_156031,standard,dg_c,88.16197405884213,79.6250616674889
vp_156031,standard,sg,97.13381841189496,79.97039960532807
vp_156031,standard,sg_c,93.17621006010755,78.49037987173162
vp_156031,reduced_compute,baseline,5.346409364125277,34.977799703996055
vp_156031,reduced_compute,dg,73.00221448908573,49.333991119881595
vp_156031,reduced_compute,dg_c,92.01518506801645,81.40108534780464
vp_156031,reduced_compute,sg,93.9354634609301,83.12777503700049
vp_156031,reduced_compute,sg_c,94.56184751660867,81.64775530340404
vp_156031,missing_low_freq,baseline,5.276811135716546,30.093734583127773
vp_156031,missing_low_freq,dg,5.292628914900348,22.49629995066601
vp_156031,missing_low_freq,dg_c,89.23441948750396,74.93833251110014
vp_156031,missing_low_freq,sg,23.37867763366023,58.904785397138625
vp_156031,missing_low_freq,sg_c,72.32521354001898,90.67587567834238
vp_724446,standard,baseline,94.66692153302112,71.6297786720322
vp_724446,standard,dg,96.18337634203064,92.51509054325956
vp_724446,standard,dg_c,97.08815190034726,95.29175050301811
vp_724446,standard,sg,95.54939628532289,75.65392354124748
vp_724446,standard,sg_c,92.4017968077989,75.41247484909456
vp_724446,reduced_compute,baseline,8.834305011309693,22.0523138832998
vp_724446,reduced_compute,dg,53.77998661951639,53.44064386317907
vp_724446,reduced_compute,dg_c,76.10946509923858,86.03621730382294
vp_724446,reduced_compute,sg,92.71719392143744,84.22535211267605
vp_724446,reduced_compute,sg_c,88.67119054445824,81.12676056338029
vp_724446,missing_low_freq,baseline,9.022268947720539,17.062374245472835
vp_724446,missing_low_freq,dg,8.824747523017617,36.78068410462777
vp_724446,missing_low_freq,dg_c,82.67864538532606,84.30583501006036
vp_724446,missing_low_freq,sg,15.887731370862404,40.72434607645875
vp_724446,missing_low_freq,sg_c,87.48287616681003,80.84507042253522
vp_128026,standard,baseline,86.76490560912671,49.75922953451043
vp_128026,standard,dg,86.16732310199647,73.5553772070626
vp_128026,standard,dg_c,89.43025940513377,75.60192616372392
vp_128026,standard,sg,92.17710172484041,82.34349919743178
vp_128026,standard,sg_c,90.37416813798723,66.53290529695025
vp_128026,reduced_compute,baseline,9.479831590384354,27.447833065810595
vp_128026,reduced_compute,dg,71.09873692788265,47.752808988764045
vp_128026,reduced_compute,dg_c,85.36941464077142,78.29052969502408
vp_128026,reduced_compute,sg,96.45524921906832,85.19261637239165
vp_128026,reduced_compute,sg_c,91.98356648105391,73.63563402889245
vp_128026,missing_low_freq,baseline,9.469645524921907,24.398073836276083
vp_128026,missing_low_freq,dg,9.473040880076056,27.8892455858748
vp_128026,missing_low_freq,dg_c,93.02933586853185,71.99036918138042
vp_128026,missing_low_freq,sg,9.639413282629363,35.87479935794543
vp_128026,missing_low_freq,sg_c,77.85209832948526,63.92455858747994
vp_562446,standard,baseline,8.387856582046584,42.95017909475741
vp_562446,standard,dg,96.97723109133734,84.46760013025073
vp_562446,standard,dg_c,96.30332373724157,81.76489742754804
vp_562446,standard,sg,97.71983773881183,85.60729404102898
vp_562446,standard,sg_c,96.23789583878566,82.3835884076848
vp_562446,reduced_compute,baseline,5.450143941376603,31.48811462064474
vp_562446,reduced_compute,dg,5.757655064119341,19.211983067404752
vp_562446,reduced_compute,dg_c,77.58113059408532,71.11690003256268
vp_562446,reduced_compute,sg,98.31196021983773,90.75219798111365
vp_562446,reduced_compute,sg_c,94.2816016749542,87.04005210029307
vp_562446,missing_low_freq,baseline,5.450143941376603,28.10159557147509
vp_562446,missing_low_freq,dg,5.450143941376603,20.351676978183004
vp_562446,missing_low_freq,dg_c,85.98207275582308,63.85542168674698
vp_562446,missing_low_freq,sg,5.823082962575242,39.95441224356887
vp_562446,missing_low_freq,sg_c,78.84388903428422,91.07782481276458
vp_170631,standard,baseline,86.52875524276676,60.37174721189591
vp_170631,standard,dg,88.83912703490438,74.34944237918215
vp_170631,standard,dg_c,89.64597995308168,78.81040892193309
vp_170631,standard,sg,98.07705978531315,84.94423791821562
vp_170631,standard,sg_c,94.06412170327717,75.98513011152417
vp_170631,reduced_compute,baseline,4.862444017914267,17.17472118959108
vp_170631,reduced_compute,dg,62.021042155399165,63.79182156133829
vp_170631,reduced_compute,dg_c,81.75161726025449,72.56505576208178
vp_170631,reduced_compute,sg,98.07705978531315,88.95910780669145
vp_170631,reduced_compute,sg_c,95.05580436482548,84.27509293680298
vp_170631,missing_low_freq,baseline,4.862444017914267,13.122676579925653
vp_170631,missing_low_freq,dg,4.862444017914267,30.780669144981417
vp_170631,missing_low_freq,dg_c,71.31229117793417,61.89591078066915
vp_170631,missing_low_freq,sg,5.0295016705765265,28.810408921933085
vp_170631,missing_low_freq,sg_c,82.41984787090352,87.50929368029739
vp_134021,standard,baseline,91.69186069339197,59.835100117785636
vp_134021,standard,dg,88.71961993011112,80.84020416175893
vp_134021,standard,dg_c,88.68428285366524,80.40832351786416
vp_134021,standard,sg,96.64690407946915,92.50098154691794
vp_134021,standard,sg_c,94.77403902783776,92.10836277974087
vp_134021,reduced_compute,baseline,6.564843535278181,20.259128386336865
vp_134021,reduced_compute,dg,64.33311084062979,39.065567334118576
vp_134021,reduced_compute,dg_c,51.63139502925125,61.44483706321162
vp_134021,reduced_compute,sg,66.26094467784365,84.45229681978799
vp_134021,reduced_compute,sg_c,93.10927009305429,88.77110325873578
vp_134021,missing_low_freq,baseline,6.564843535278181,13.898704358068315
vp_134021,missing_low_freq,dg,6.572696218932821,40.63604240282685
vp_134021,missing_low_freq,dg_c,50.999253995052804,61.130742049469966
vp_134021,missing_low_freq,sg,6.600180611724056,25.598743619945036
vp_134021,missing_low_freq,sg_c,94.56594291098983,88.10365135453475
vp_101309,standard,baseline,81.37501700911689,61.78890876565295
vp_101309,standard,dg,93.93114709484284,90.51878354203936
vp_101309,standard,dg_c,97.49625799428495,94.91949910554561
vp_101309,standard,sg,97.40440876309702,84.25760286225402
vp_101309,standard,sg_c,94.47543883521567,73.77459749552773
vp_101309,reduced_compute,baseline,4.269288338549463,18.783542039355993
vp_101309,reduced_compute,dg,53.13648115389849,59.53488372093023
vp_101309,reduced_compute,dg_c,80.00408218805279,90.26833631484794
vp_101309,reduced_compute,sg,97.72077833718873,90.44722719141323
vp_101309,reduced_compute,sg_c,94.80881752619405,80.0
vp_101309,missing_low_freq,baseline,4.170635460606886,14.45438282647585
vp_101309,missing_low_freq,dg,9.633963804599265,36.887298747763865
vp_101309,missing_low_freq,dg_c,72.25813035787182,84.86583184257603
vp_101309,missing_low_freq,sg,9.603347394203293,45.008944543828264
vp_101309,missing_low_freq,sg_c,93.68621581167505,78.31842576028623
vp_102513,standard,baseline,13.46824842986741,63.30076004343105
vp_102513,standard,dg,94.64251728731841,83.78574013753168
vp_102513,standard,dg_c,94.88358814946393,80.27506333695258
vp_102513,standard,sg,93.39275518619552,92.29098805646036
vp_102513,standard,sg_c,92.47922349806508,92.65291349981904
vp_102513,reduced_compute,baseline,5.4082344731332865,35.17915309446254
vp_102513,reduced_compute,dg,15.422191207257502,19.18204849800941
vp_102513,reduced_compute,dg_c,73.07936306540633,53.492580528411146
vp_102513,reduced_compute,sg,85.26930152889678,83.60477741585234
vp_102513,reduced_compute,sg_c,89.91308761022648,86.86210640608036
vp_102513,missing_low_freq,baseline,5.4082344731332865,27.072023163228376
vp_102513,missing_low_freq,dg,5.414578443189748,1.520086862106406
