brain,scenario,method,tissue_pct,skull_pct,status,converged,tissue_rmse,tissue_std,tissue_mean,skull_rmse,ms_ssim,psnr,n_tissue_px,n_skull_px,n_brain_px
vp_996782,standard,baseline,9.63,69.23,failed,0,84.881,32.945,1489.684,521.44,0.9265,19.179,31905,2853,45916
vp_996782,standard,dg,92.43,68.94,converged,1,16.164,20.167,1566.075,352.424,0.9614,21.122,31905,2853,45916
vp_996782,standard,dg_c,92.42,79.67,converged,1,17.691,19.707,1575.97,264.827,0.9678,21.789,31905,2853,45916
vp_996782,standard,sg,97.97,96.88,converged,1,12.952,18.574,1556.52,93.808,0.9873,24.882,31905,2853,45916
vp_996782,standard,sg_c,96.61,94.99,converged,1,12.902,21.223,1567.141,96.987,0.9882,25.13,31905,2853,45916
vp_996782,reduced_compute,baseline,7.04,34.14,failed,0,87.049,0.106,1480.002,986.389,0.9022,17.03,31905,2853,45916
vp_996782,reduced_compute,dg,7.14,5.29,failed,0,83.663,10.042,1483.941,1082.379,0.8928,16.267,31905,2853,45916
vp_996782,reduced_compute,dg_c,54.64,54.47,buffer,0,32.956,21.912,1593.693,422.61,0.9433,19.839,31905,2853,45916
vp_996782,reduced_compute,sg,97.92,90.29,converged,1,10.84,19.276,1564.718,146.377,0.9717,22.428,31905,2853,45916
vp_996782,reduced_compute,sg_c,94.03,93.02,converged,1,15.591,22.809,1567.869,119.17,0.9776,23.647,31905,2853,45916
vp_996782,missing_low_freq,baseline,7.04,32.14,failed,0,87.049,0.076,1480.002,1032.143,0.9002,17.005,31905,2853,45916
vp_996782,missing_low_freq,dg,7.06,11.29,failed,0,85.286,5.194,1481.776,953.844,0.9081,16.957,31905,2853,45916
vp_996782,missing_low_freq,dg_c,77.27,47.67,buffer,0,27.768,25.062,1580.301,560.097,0.9384,19.394,31905,2853,45916
vp_996782,missing_low_freq,sg,18.26,55.63,failed,0,76.5,33.034,1497.168,625.721,0.9248,18.684,31905,2853,45916
vp_996782,missing_low_freq,sg_c,74.59,95.23,converged,1,29.297,25.17,1543.254,104.007,0.9794,24.548,31905,2853,45916
vp_166438,standard,dg,38.68,42.53,failed,0,48.28,32.927,1602.295,505.165,0.8975,19.226,32033,4072,47485
